zinc_id,smiles,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumValenceElectrons,NumChiralCentersUnassigned,NumChiralCentersAssigned,QED
ZINC000008551178,CN[C@H]1[C@H](O)[C@H](O[C@@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@H]2O)OC[C@@]1(C)O,477.603,-3.32749999999999,199.73,8,12,7,3,113,13,13,0.18159830996278
ZINC000253476025,CC(C)[N@+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2,332.464,2.8541,46.53,1,3,5,3,90,5,5,0.666102906786959
ZINC000011680067,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,324.464,4.0487,37.3,1,2,1,4,92,6,6,0.583490510215803
ZINC000000606383,Clc1ccc([C@@H](Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1,437.779,7.0161,27.05,0,4,6,4,93,1,1,0.324011370754021
ZINC000003831006,O=NN(CCCl)C(=O)NC1CCCCC1,233.699,2.2509,61.77,1,3,4,1,50,0,0,0.459961345977125
ZINC000011679756,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,442.475,4.56484000000001,114.59,3,6,5,4,120,0,0,0.395692757810204
ZINC000000896634,CN1C(=O)[C@@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21,300.745,2.4722,52.9,1,3,1,3,75,1,1,0.879421465403288
ZINC000022448696,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,613.803,2.8669,118.03,4,7,11,5,167,5,5,0.262823420095657
ZINC000000000509,CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1,265.36,2.4789,19.37,0,3,0,4,77,1,1,0.729279624709109
ZINC000004097304,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,380.456,1.8737,94.83,3,5,2,4,95,7,7,0.679894964118884
ZINC000002008310,Cc1ccc(/C=C2\C(=O)[C@]3(C)CC[C@H]2C3(C)C)cc1,254.373,4.40362,17.07,0,1,1,3,74,2,2,0.678656008466054
ZINC000012503099,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,278.399,3.91752,16.13,0,2,4,3,82,0,0,0.8424584892829
ZINC000000113398,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,206.285,3.0732,37.3,1,1,4,1,56,1,1,0.821599548692498
ZINC000100016084,O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,392.519,3.7697,46.53,1,3,4,5,110,3,3,0.636442495488117
ZINC000000136138,COc1ccc(C(=O)c2ccccc2)c(O)c1,228.247,2.6318,46.53,1,3,3,2,62,0,0,0.821283475328211
ZINC000242437512,CN[C@H](C)[C@@H]1CC[C@H](N)[C@H](O[C@H]2[C@H](O)[C@@H](O[C@@H]3OC[C@](C)(O)[C@H](NC)[C@@H]3O)[C@@H](N)C[C@H]2N)O1,477.603,-3.32749999999999,199.73,8,12,7,3,113,13,13,0.18159830996278
ZINC000003823492,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,297.271,-1.9714,148.77,4,10,3,3,69,4,4,0.50561305994515
ZINC000100017856,O=C1C(O)=C([C@@H]2CC[C@@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,366.844,5.5051,54.37,1,3,2,4,95,0,0,0.76243600437804
ZINC000000114124,CC(C)(S)[C@H](N)C(=O)O,149.215,0.1067,63.32,3,3,2,0,29,1,1,0.488090597769992
ZINC000003830944,CC(=O)N(C[C@@H](O)CO)c1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,821.141,-1.6275,199.89,8,9,12,1,106,3,3,0.11425581094764
ZINC000000601305,C[C@H]1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.842,2.0834,92.5,2,4,3,3,86,1,1,0.870524945064654
ZINC000000895103,C[C@@H](O)[C@H](N)C(=O)O,119.12,-1.2209,83.55,3,3,2,0,25,2,2,0.425095602626951
ZINC000001533877,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,319.231,0.5,138.53,5,4,9,0,63,0,0,0.305756810144588
ZINC000000154964,Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1C,246.354,2.72624,32.34,1,2,2,2,68,1,1,0.869904321370846
ZINC000001530922,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,362.278,1.5488,116.17,3,4,5,3,87,0,0,0.54893423084381
ZINC000000001655,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,296.153,4.74362,49.33,2,2,3,2,65,0,0,0.859404484105604
ZINC000004392649,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,245.322,2.2512,38.33,1,2,4,3,67,2,2,0.883226598370479
ZINC000001530929,C=CC[C@]1([C@@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O,262.309,1.3066,66.48,1,3,3,1,68,2,2,0.473489724774032
ZINC000003831430,C[C@@H](N)C12CC3CC(CC(C3)C1)C2,179.307,2.55,26.02,1,1,1,4,51,1,1,0.657471607480536
ZINC000000403011,C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,328.412,2.1354,95.58,4,4,8,2,88,2,2,0.596838961611159
ZINC000003784182,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,412.529,6.68140000000001,46.53,1,2,4,7,118,0,0,0.519704129277311
ZINC000001530706,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,309.453,4.292,20.31,0,2,7,2,89,1,1,0.760121278775854
ZINC000003978005,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,583.689,2.0811,118.21,3,6,4,8,157,7,7,0.433136086273445
ZINC000001530886,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,514.629,7.26442000000001,72.94,1,5,7,6,148,0,0,0.243238592025165
ZINC000111460375,CC1(C)[C@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)/C2=C/c1ccc(/C=C2\C(=O)[C@@]3(CS(=O)(=O)O)CC[C@H]2C3(C)C)cc1,562.706,4.2396,142.88,2,6,6,5,140,4,4,0.387175064634336
